,Path,Canonical,Transcript,Predict
10,PTL_7_NU_S0008_149,h a j _1 v 7_X j _1 v E _1 v 7_X j _3 n O _5a b 7 j _1 r 7_X t _5b t a j _2,h a j _1 v 7_X j _1 v E _1 v 7_X j _3 l O _5a b 7 j _1 r 7_X t _5b t a j _2,h a j _1 N wp ie n _1 v E _1 m _2 l O _3 v 7 j _1 b a k _5b t a j _2
11,CNBA_Nu_6_S0003_151,k a _5a m 7_X p _6b a p _5b S a t _5b k a _5a m a_X N _1,k a _5a m 7_X p _6b a p _5b s a t _5b k a _5a m a_X N _1,k a _5a m 7_X kp _6b a p _5b S a t _5b k a _5a m a_X N _1
12,PTL_7_NU_S0008_68,x u Nm _3 l O_X Nm _1 m o Nm _6a t_h e _5a t ie n _2 S M _3,x u Nm _3 l O_X Nm _1 m o Nm _6a t_h e _5a l ie n _2 s M _3,x u Nm _3 l O_X Nm _1 m o Nm _1 t_h e _5a l ie n _2 S M _1
13,NMA_7_NU_S0002_240,dZ a_X k _6b N wp ie n _1 ts_ O _1 S M _5a t_h 7_X n _2 S a N _1 dZ a _3 v 7 _2 m M7 n _6a d M7 N _2 d e _3 s 7_X m _1 ts_ ie m _5a n M7 k _5b t a _1,dZ a_X k _6b N wp ie n _1 ts_ O _1 s M _5a t_h 7_X n _2 s a N _1 dZ a _3 v 7 _2 m M7 n _6a d M7 N _2 d e _3 s 7_X m _1 ts_ ie m _5a n M7 k _5b t a _1,a _3 k wp ie n _1 ts_ O _1 s M _5a t_h 7_X n _2 a S a m _1 dZ a _3 v a w _3 m M7 n _6a d M7 N _2 d e _3 s 7_X m _1 ts_ ie m _5a n e k _5b t a _1
14,PC_7_NAM_S0004_88,k wp e _1 b a n _6a k O _5a d a_X k _6b S a n _3 dZ i _2,k wp e _1 b a n _6a k O _5a d a_X k _6b s a n _3 dZ i _2,k wp e _1 b a n _6a k O _5a d a_X k _6b S a n _3 dZ i _2
15,TTD_7_NAM_S0001_181,tS 7_X w _1 r a _1 N wp a j _2 r uo N _6a tS 7_X w _1 k a_X j _2 v 7 j _5a t a _1,tS 7_X w _1 z a _1 N wp a j _2 z uo N _6a tS 7_X w _1 k a_X j _2 v 7 j _5a t a _1,ts_ 7_X w _1 z a _1 N wp a j _2 G M7 N t ts_ 7_X w _1 k 7_X j_2 v 7 j _5a t a _2
16,NTM_Nam_6_S00010_45,ts_ i m _1 x M7 w _5a tS a j _1 tS 7_X w _1,ts_ i m _1 x i w _5a tS a j _1 tS 7_X w _1,ts_ i m _1 ie w _5a tS a j _1 tS 7_X w _1
17,PC_7_NAM_S0004_72,v i _2 S a w _1 b a n _6a l a j _6a t_h i k _5b m o n _1 t ie N _5a E_X J _1,v i _2 s a w _1 b a n _6a l a j _6a t_h i k _5b m o n _1 t ie N _5a E_X J _1,v i _2 S a w _1 b a n _1 a j k e k _5b m o n _1 t ie N _5a a n _1
18,PTL_7_NU_S0008_66,s M _5a S 7 _3 m uo N _1 t_h u _5a,s M _5a s M _3 m uo N _1 t_h u _5a,s M _5a S M _3 m uo n _1 t_h u _5a
19,NMA_7_NU_S0002_191,l u _4 k O n _1 ts_ ie m _1 ts_ ie p _5b t_h E w _1 l ie n _2 d a_X N _2 S a_X w _1,l u _4 k O n _1 ts_ ie m _1 ts_ ie p _5b t_h E w _1 l ie n _1 d a_X N _2 s a_X w _1,l u _4 k O n _1 ts_ ie m _1 ts_ ie p _5b t_h E w _1 l ie n _1 d a _3 s a_X w _3
20,NDBA_7_NAM_S0010_103,t_h e _5a n a w _2 J a _2 v uo _1 k u Nm _4 tS O_X Nm _6a t M7 N _3 t_h M7 N _3,t_h e _5a n a w _2 J a _2 v uo _1 k u Nm _4 ts_ O n _6a t M7 N _3 t_h M7 N _3,t_h e _5a n a w _2 J a _2 v uo _2 k u Nm _4 ts_ O n _6a t M7 _3 t_h M7 N _3
21,NHM_7_NU_S0006_41,v i _2 S a w _1 t_h 7_X n _2 dZ O _5a f a j _3 ts_ i w _6a t_h uo _1 o Nm _1 m E_X J _6a,v i _2 s a w _1 t_h 7_X n _2 dZ O _5a f a j _3 ts_ i w _6a t_h uo _1 o Nm _1 m E_X J _6a,v i _2 S a w _1 t_h t_h 7_X n _2 h ie w _2 O j _2ts_ i _6a t_h uo _3 o Nm _1 m E_X J _6a
22,LXT_Nam_6_S0008_12,t ie p _5b d O _5a l a j _6a k wp a_X j _1 S a N _1 G a _2 m a j _5a v a N _2,t ie p _5b d O _5a l a j _6a k wp a_X j _1 s a N _1 G a _2 m a j _5a v a N _2,k ie p _5b d O _5a l a j _6a k wp a_X j _1S a N _1 G a _3 m a j _5a v a N _2
23,LXT_Nam_6_S0008_29,s e _1 G a _2 tS o Nm _5a S a j _1 x ie n _5a z a_X j _6a z o _4 t 7_X t _5b k a _3,s e _1 G a _2 tS o Nm _5a s a j _1 x ie n _5a z a_X j _6a z o _4 t 7_X t _5b k a _3,s e _1 l a _2 o Nm _5a a t _5b ie n _3 z 7_X n r o _5a 7_X t _5b k a _3
24,CPT_Nu_6_S0004_16,k O n _1 k O n _2 G a_X p _6b m o t _6b k O n _1 t_h u _5a r 7_X t _5b h ie n _2,k O n _1 k O n _2 G o p _6b m o t _6b k O n _1 t_h u _5a r 7_X t _5b h ie n _2,k O n _1 k O n _2 m o p _6b m o t _6b k O n _1 t_h u _5a d 7_X t _5b h ie n _2
25,NMA_7_NU_S0002_77,S M _1 t M _3 b a n _2 ts_ wp ie n _6a s wp 7_X t _5b k wp 7_X n _1,s M _1 t M _3 b a n _2 ts_ wp ie n _6a s wp 7_X t _5b k wp 7_X n _1,S M _1 t M _3 b a n _2 ts_ wp ie n _6a s wp 7_X t _5b k wp 7_X n _1
26,ĐNL_Nu_6_S0007_43,k a _5a b 7 j _1 z M7 j _5a S uo j _5a,k a _5a b 7 j _1 z M7 j _5a s uo j _5a,m 7 _5a t M N _5a S uo j _5a
27,GQM_Nam_6_S0006_19,d O _5a l a _2 k E _3 t_h u _2 k uo _3 J a _2 ts_ uo t _6b,d O _5a l a _2 k E _3 t_h u _5a k uo _3 J a _2 ts_ uo t _6b,d O _5a l a _2 k E _3 t_h u _5a k uo _3 J a _2 ts_ uo t _6b
28,NDBA_7_NAM_S0010_190,d M7 N _2 r M N _2 l a_X m _5a l wp a j _6a G a j _1,d M7 N _2 z M N _2 l a_X m _5a l wp a j _6a G a j _1,d M N _2 z M N _2 l a_X m _5a l wp a j _6a k a_X j _1
29,NMA_7_NU_S0002_91,ts_ u Nm _5a z u Nm _2 r a_X N _1 N wp a m _6a ts_ a_X t _6b z a _1 k o _3 k uo _3 k O n _1 r o j _2 dZ M _4 l u Nm _3 l a_X N _3 tS e n _1 S uo t _5b d M7 N _2 d i _1,ts_ u Nm _5a z u Nm _2 z a_X N _1 N wp a m _6a ts_ a_X t _6b z a _1 k o _3 k uo _3 k O n _1 z o j _2 dZ M _4 l u Nm _3 l a_X N _3 tS e n _1 s uo t _5b d M7 N _2 d i _1,ts_ u Nm _1 z u N _2 z a_X N _1 N wp a n _2 ts_ 7_X t _6b z a _1 k o _3 k uo _3 k O n _1 d o j _2 s M _5a l u Nm _3 l a_X N _2 tS e n _1 s uo t _5b d M7 N _2 d i _1
30,THA_Nu_6_S00042_169,z e _1 m E _6a z a_X n _6a k a k _5b k O n _1 d ie w _2 dZ i _2,r e _1 m E _6a z a_X n _6a k a k _5b k O n _1 d ie w _2 dZ i _2,v e _1 m E _3 z a_X k _6b k a k k O n _1 d ie w _2 r i _2
31,NMA_7_NU_S0002_116,l uo _5a v a N _2 G 7 n _6a S O_X Nm _5a,l uo _5a v a N _2 G 7 n _6a s O_X Nm _5a,l uo _5a v a N _2 G 7 n _6a s O_X Nm _5a
32,NDBA_7_NAM_S0010_140,ts_ i _3 r ie N _1 k O _5a h wp a N _2 t M _3 t M _3 l a N _1 l ie w _1 l a _2 ts_ a_X m _1 ts_ i _3 v a _2 ie w _1 t_h i k _5b tS o Nm _2 tS O t _6b,ts_ i _3 r ie N _1 k O _5a h wp a N _2 t M _3 t M _3 l a N _1 l ie w _1 l a _2 ts_ a_X m _1 ts_ i _3 v a _2 ie w _1 t_h i k _5b tS o Nm _2 tS O j _6a,ts_ i _3 r ie N _1 k O _5a h a N _2 t M _3 t M _3 l a N _2 l ie w _1 l a _2 ts_ a_X m _1 ts_ i _3 v a j _2 ie w _2 t_h i k _5b ts_ o Nm _2 ts_ O j _4
33,THA_Nu_6_S00042_228,x a m _5a v a m _6a v a m _6a v 7 _4 k wp a _3 tS a m _5a,x a m _5a v a m _6a v a m _6a v 7 _4 k wp a _3 ts_ a m _5a,x a m _5a v a _6a v a _6a v 7 _4 k wp a _3 tS a m _5a
34,MK_7_NU_S0007_12,t 7 _5a r 7_X t _5b ie w _1 dZ a _1 d i J _2 t 7 _5a,t 7 _5a z 7_X t _5b ie w _1 dZ a _1 d i J _2 t 7 _5a,t 7 _5a 7_X t _6b ie w _1 a d i J _2 t 7 _5a
35,LXT_Nam_6_S0008_72,z u _2 r 7_X t _5b S 7 _6a z e _1 v 7_X n _4 b i J _2 t i J _4 n O j _5a,z u _2 r 7_X t _5b s 7 _6a z e _1 v 7_X n _4 b i J _2 t i J _4 n O j _5a,z u _2 r 7_X t _5b S 7 _3_6a v i _2 v 7_X n _4 b i J _2 t i J _6a n O j _5a
36,TTMK_7_NU_S0044_173,ts_ i m _1 b i _6a k 7_X m _2 t u _2 h O_X Nm _6a x o _1 b O_X Nm _3 v i _2 x a t _5b,ts_ i m _1 b i _6a k 7_X m _2 t u _2 h 7_X N _6a x o _1 b O_X Nm _3 v i _2 x a t _5b,m i m _1m i _6a k 7_X m _2 t u _2 h O_X kp _6a x o _1 b O_X Nm _1 v i _2 x a k _5b
37,LXT_Nam_6_S0008_34,G a _2 tS o Nm _5a S a j _1 x ie n _5a v a _2 z a_X j _6a z o _4 t 7_X t _5b k a _3 ts_ O _1 m i J _2 l a _2 r 7_X t _5b k wp a n _1 tS O_X Nm _6a,G a _2 tS o Nm _5a s a j _1 x ie n _5a v a _2 z a_X j _6a z o _4 t 7_X t _5b k a _3 ts_ O _1 m i J _2 l a _2 z 7_X t _5b k wp a n _1 tS O_X Nm _6a,t_h a _2 tS o Nm _5a s a_X j _1 x E _5a v a _2 z a_X j _6a z o _2 t 7_X k _5b k a _3 h a n _6a G a _3 ts_ wp 7_X n _3 b i _3 ts_ O _1 m i J _2 l a _2 r 7_X t _5b k wp a n _1 tS O_X Nm _6a
38,TTD_7_NAM_S0001_16,r o j _2 dZ 7 _2 t 7 _5a h O j _3 k 7_X w _6a J E _5a,z o j _2 dZ 7 _2 t 7 _5a h O j _3 k 7_X w _6a J E _5a,r o j _2 dZ 7 _2 t o j h O j _3 k 7_X w _6a J E _5a
39,CNBA_Nu_6_S0003_67,t_h O _3 S 7 _6a M7 t _5b 7 _3 b e n _1 b 7 _2 7 _3 tS e n _1 b 7 _2 k o _3 v u _4,t_h O _3 s 7 _6a M7 t _5b 7 _3 b e n _1 b 7 _2 7 _3 tS e n _1 b 7 _2 k o _3 v u _4,t_h a _3 s 7 _6a M7 t _5b 7 _3 b e n _1 b 7 _2 7 _3 tS e n _1 b 7 _2 k o _3 v u _6b
40,TTD_7_NAM_S0001_89,b 7_X j _1 dZ 7 _2 ts_ wp ie n _3 S a N _1 f 7_X n _2 h a j _1,b 7_X j _1 dZ 7 _2 ts_ wp ie n _3 s a N _1 f 7_X n _2 h a j _1,b 7_X j _1 7 _2 ts_ wp ie n _3 S a N _2 7_X n _2 h a j _3
41,VTA_Nam_6_S0002_21,h o m _1 S a_X w _1 k wp a _6a d a N _1 d 7_X w _6a 7 _3 b 7 _2 r a w _2 t_h i _2 b i _6a ts_ O _5a v o _2,h o m _1 s a_X w _1 k wp a _6a d a N _1 d 7_X w _6a 7 _3 b 7 _2 z a w _2 t_h i _2 b i _6a ts_ O _5a v o _2,h o m _1 S a_X w _1 k wp a _3 d a N _1 d 7_X w _6a 7 _3 b 7 _2 z a w _1 t_h i _2 b i _6a ts_ O _5a b o Nm _2
42,TTD_7_NAM_S0001_121,x o Nm _1 k 7_X w _6a n O j _5a k a j _5a t M _2 d i _1 h O_X kp _6b n O _5a S a j _1 r o j _2 k 7_X w _6a f a j _3 n O j _5a t M _2 d i _1 h O_X kp _6b v e _2,x o Nm _1 k 7_X w _6a n O j _5a k a j _5a t M _2 d i _1 h O_X kp _6b n O _5a s a j _1 z o j _2 k 7_X w _6a f a j _3 n O j _5a t M _2 d i _1 h O_X kp _6b v e _2,a x o Nm _5a k 7_X w _6a n O j _5a k a j _5a t M _2 d i _1 h O_X kp _6b O _5a a j _1 r o j _2 ts_ 7_X w l a j _6a n O j _5a t M _2 d i _1 h O_X kp _6b v e _2
43,LXT_Nam_6_S0008_6,S a N _5a S a N _5a G a _2 tS o Nm _5a G a_X j _5a v a N _1,s a N _5a s a N _5a G a _2 tS o Nm _5a G a_X j _5a v a N _1,S a N _5a S a N _5a G a _5a o Nm _5a a_X j _5a v a N _1
44,CNBA_Nu_6_S0003_115,S a N _5a S a N _5a m E _6a z 7_X n _4 ts_ u _5a d i _1 k ie m _5a a_X n _1,s a N _5a s a N _5a m E _6a z 7_X n _4 ts_ u _5a d i _1 k ie m _5a a_X n _1,S a N _5a S a N _5a m E _6a z 7_X n ts_ u _5a d i _3 k ie m _5a a_X n _3
45,NHM_7_NU_S0006_21,d o Nm _2 b a_X N _2 l a _2 v u Nm _2 d 7_X t _5b r 7_X t _5b r o Nm _6a b a_X N _2 f a_X N _3,d o Nm _2 b a_X N _2 l a _2 v u Nm _2 d 7_X t _5b z 7_X t _5b z o Nm _6a b a_X N _2 f a_X N _3,d 7_X N _2 b a_X N _2 n a w _2 a j _2 l 7_X t _1 N k t i k _5b z 7_X w _6a b a_X N _2 f a n _1
46,TPA_Nu_6_S0009_129,t_h 7_X j _5a k o _1 h a j _1 d a N _1 s E _1 ts_ i _3 S O_X kp _5b k O n _1 b a _3,t_h 7_X j _5a k o _1 h a j _1 d a N _1 s E _1 ts_ i _3 s O_X kp _5b k O n _1 b a _3,t_h 7_X j k o _1 h a j _1 d a N _2 s E _1 ts_ i _3 S O_X kp k O n _1 b a w _3
47,LXT_Nam_6_S0008_54,t M _2 d O _5a ts_ u _5a ts_ a _3 z a m _5a h E_X k _6b S E_X k _5b a j _1 n M7 _4,t M _2 d O _5a ts_ u _5a ts_ a _3 z a m _5a h E_X k _6b s E_X k _5b a j _1 n M7 _4,t M _5a d O _5a ts_ u _5a ts_ a _3 z a m _5a h E_X J _5a S E_X t _5a a j n M7 _6b
48,PTT_7_NU_S0041_94,k O n _1 t a_X m _2 a_X n _1 z 7_X w _1,k O n _1 t a_X m _2 a_X n _1 r 7_X w _1,k O n _1 t a_X N _3 a_X n _1 z 7_X w _1
49,PTL_7_NU_S0008_155,b a_X j _1 k u Nm _2 n a m _1 b a_X k _5b d o Nm _1 t 7_X j _1 t O _3 t M7 N _2,b a_X j _1 k u Nm _2 n a m _1 b a_X k _5b d o Nm _1 t 7_X j _1 t O _3 t i J _2,b a_X j _1 k i _2 N E_X n _1 m a_X t _5b d o N _1 t 7_X j _1 k 7_X w _6a t i J _2
50,PTL_7_NU_S0008_6,k a _5a S 7_X w _5a k O _5a h a m _2 r a_X N _1 S a_X k _5b J O n _6a J M N _1 b e _5a k O n _1 k u Nm _4 r 7_X t _5b x E w _5a,k a k _5b s 7_X w _5a k O _5a h a m _2 r a_X N _1 s a_X k _5b J O n _6a J M N _1 b e _5a k O n _1 k u Nm _4 r 7_X t _5b x E w _5a,k a k _5b S a_X w _5a k O _5a h a m _2 r a_X N _1 S a_X k _5b J O _6a J M N _1 b e _5a k O n _1 k u Nm _5a r 7_X t x E w _5a
51,THA_Nu_6_S00042_44,k ie n _5a b O _2 r a _1 k ie n _5a d o t _5b ts_ 7_X n _1 b a k _5b t_h 7 _6a S a_X n _1,k ie n _5a b 7 _3 r a _1 k ie n _5a d o t _5b ts_ 7_X n _1 b a k _5b t_h 7 _6a S a_X n _1,k ie n _5a 7 _3 dZ a _1 n n n n k ie n _5a d o t _5b ts_ 7_X n _1 b a_X k _5b t_h 7 _3 S 7_X n _1
52,NT_7_NAM_S0009_37,S M _3 z u Nm _6a k 7_X w _1 h O j _3 v i _2 S a w _1 d e _3 h O j _3 d a p _5b v 7 j _5a b a n _6a v e _2 n o j _6a z u Nm _1 k 7_X w _1 ts_ wp ie n _6a,s M _3 z u Nm _6a k 7_X w _1 h O j _3 v i _2 s a w _1 d e _3 h O j _3 d a p _5b v 7 j _5a b a n _6a v e _2 n o j _6a z u Nm _1 k 7_X w _1 ts_ wp ie n _6a,t M z u N _6a k 7_X w _1 h O j _3 v i _2 S a w _6b dl e _6a h O j _3 d a p _5b v 7 j _5a b a n _6a v e _2 n o j _6a z u Nm k 7_X w _1 wp ie n _6a
53,THA_Nu_6_S00042_83,k wp a _1 ts_ 7 _6a ts_ i _6a ts_ i _3 ts_ O _1 b E _5a J M N _4 dZ i _2,k wp a _1 ts_ 7 _6a ts_ i _6a ts_ i _1 ts_ O _1 b E _5a J M N _4 dZ i _2,k wp a _5a ts_ O _6a ts_ i _1 ts_ i _1 ts_ O _1 b E _5a J M N _4 dZ i _2
54,TTD_7_NAM_S0001_85,t 7 _5a S E _4 n O j _5a l a _2 k a m _3 7 n _1 b a k _5b,t 7 _5a S E _4 l O j _5a l a _2 k a m _3 7 n _1 b a k _5b,t 7 _5a S E _4 n O j _5a l a _2 k a m _3 7 n _1 b a k _5b
55,VTA_Nam_6_S0002_24,J E_X J _1 J M _1 k a_X t _5b t_h O _3 f O_X Nm _5a v a w _2 r M N _2,J E_X J _1 J M _1 k a_X t _5b t_h O _3 f O_X Nm _5a v a w _2 z M N _2,J a_X N _1 J M _1 k E_X t _5b t_h a _3 f a_X Nm _5a N a_X w _1 dZ M N _2
56,NTM_Nam_6_S00010_30,k O _5a x M7 w _5a d E_X J _5a d u _1,k O _5a x i w _5a d E_X J _5a d u _1,k O _5a x ie w _5a d E_X J _5a d u _1
57,NDBA_7_NAM_S0010_81,b a _5a t M7 k _5b ts_ u _3 J 7_X n _1 k uo _3 N M7 j _1 t_h 7_X t _6b t o t _5b b u Nm _6a,t a _1 t M7 k _5b ts_ u _3 J 7_X n _1 k uo _3 N M7 j _1 t_h 7_X t _6b t o t _5b b u Nm _6a,t a _1 t M7 k _5b ts_ u _3 J 7_X n _1 k uo _3 N M7 j _1 t_h 7_X n _6b s O t _6b m o Nm _6b
58,NDBA_7_NAM_S0010_199,v i _2 7 _3 r M N _2 v a_X N _5a v E _3,v i _2 7 _3 z M N _2 v a_X N _5a v E _3,v i _2 z u N _2 v a_X N _5a v E _3 _1
59,THA_Nu_6_S00042_69,ts_ i _6a tS a _2 ts_ O _1 b E _5a ts_ i _1 d i _1 J a _2 tS E _3,ts_ i _6a tS a _2 ts_ O _1 b E _5a ts_ i _1 d i _1 J a _2 ts_ i _3,ts_ i _6a tS a _3 ts_ O _1 b E _5a ts_ i _1 d i _1 J a _2 ts_ i _3
60,NMA_7_NU_S0002_23,v M7 N _5a k E_X J _2 v O j _1 b E _3 r a_X k _5b,s M N _2 k E_X J _2 v O j _1 b E _3 r a_X k _5b,s M N _5a t E_X J _2 v o j _1 b E _3 r a_X k _5b
61,HYT_Nu_6_S0005_6,m E _6a a _6a tS e n _1 S 7_X n _1 k O _5a m o t _6b k O n _1 t_h u _5a z M _4 l a_X m _5a,m E _6a a _6a tS e n _1 S 7_X n _1 k O _5a m o t _6b k O n _1 t_h u _5a r u _1 l 7_X m _1,m E _6a a _6a tS e n _1 S 7_X n _1 k O _5a m o t _2 k O n _1 t_h u _5a r u _1 l o Nm _5a
62,TTD_7_NAM_S0001_115,r o j _2 b 7_X j _1 dZ 7 _2 n O j _5a l a j _6a v 7 j _5a b a n _6a k e t _5b k wp a _3 k wp a n _1 S a t _5b,z o j _2 b 7_X j _1 dZ 7 _2 n O j _5a l a j _6a v 7 j _5a b a n _6a k e t _5b k wp a _3 k wp a n _1 s a t _5b,r o j _2 b 7_X j dZ 7 _2 n O j _5a l a j v 7 j _5a b a n _6a k e t _6b k wp a _3 k wp a n _1 S a t _5b
63,GQM_Nam_6_S0006_42,d O _5a l a _2 k E _3 t_h u _2 k uo _3 J a _2 ts_ uo t _6b,d O _5a l a _2 k E _3 t_h u _5a k uo _3 J a _2 ts_ uo t _6b,d O _5a l a _2 k a _3 t_h u _5a k uo _3 J a _2 _6b
64,NDBA_7_NAM_S0010_97,x i _1 t_h 7_X j _5a ts_ a N _2 tS a j _1 b E_X J _3 b a w _1 v a _2 r 7_X t _5b x wp E _3 m E_X J _6a J a _2 m uo _1 r 7_X t _5b v u j _1 m 7 j _2 v i _6a b a _5a t M7 k _5b l e n _1 s E _1 N M7 _6a v 7 j _5a m i J _2,x i _1 t_h 7_X j _5a ts_ a N _2 tS a j _1 tS E _3 b O_X Nm _3 b a w _1 v a _2 z 7_X t _5b x wp E _3 m E_X J _6a J a _2 m uo _1 z 7_X t _5b v u j _1 m 7 j _2 v i _6a b a _5a t M7 k _5b l e n _1 s E _1 N M7 _6a v 7 j _5a m i J _2,x i _1 t_h 7_X j _5a ts_ a N _2 tS a j _1 tS E _3 b a w _3 b a w _1 v a _2 r 7_X t _5b x wp E _3 m E_X J _6a J a _2 m uo _1 r 7_X t _5b v u j _1 m 7 j _2 v i _6a b a _5a t M7 k _5b l e n _1 s E n _1 N M7 _6a v 7 j _5a m i J _2
65,LXT_Nam_6_S0008_64,m o t _6b l u _4 G a _2 tS o Nm _5a l u _4 G a _2 m a j _5a tS o n _5a S E_X k _6b,m o t _6b l u _4 G a _2 tS o Nm _5a l u _4 G a _2 m a j _5a tS o n _5a s E_X k _6b,m o t _6b l u G a n _2 tS o n _5a l u w a _5a m a j _5a o n _5a E_X J _6b
66,CNBA_Nu_6_S0003_21,n a N _2 d E_X J _2 k e _3 v 7 j _5a v uo _1 ts_ a _1 v e _2 ts_ wp ie n _6a n a N _2 d a _4 h M7 _5a v 7 j _5a e k _5b,l a N _2 d E_X J _2 k e _3 v 7 j _5a v uo _1 ts_ a _1 v e _2 ts_ wp ie n _6a l a N _2 d a _4 h M7 _5a v 7 j _5a e k _5b,l a N _2 d E_X J _2 k e _3 v 7 j _5a v uo _1 ts_ a _1 v e _2 ts_ wp ie n _6a l a N _2 d a _4 h M7 _5a v 7 j _5a e k _5b
67,CNBA_Nu_6_S0003_107,S a N _5a S a N _5a m E _6a z 7_X n _4 ts_ u _5a d i _1 k ie m _5a a_X n _1,s a N _5a s a N _5a m E _6a z 7_X n _4 ts_ u _5a d i _1 k ie m _5a a_X n _1,S a N _5a S a N _5a m E _6a z 7_X n _5a ts_ u _5a d i _1 k ie m _5a a_X n _1
68,NTM_Nam_6_S00010_29,k O _5a l M N _1 h u _4 r M7 w _6a,k O _5a l M N _1 h u _4 r i w _6a,k O _5a _5a 7_X Nm _5a v u _1 r i w _6a
69,THA_Nu_6_S00042_211,N O _3 i _5a ts_ i _6a ts_ O _1 v E _1 t i _5a dZ i _2 J E _5a,N O _4 i _5a ts_ i _6a ts_ O _1 v E _1 t i _5a dZ i _2 J E _5a,N O _4_5a i _5a ts_ i _2 ts_ O _1 v e _1 t i _5a dZ i _2 J E _5a
70,PTT_7_NU_S0041_78,b uo j _3 tS M7 _1 l i m _1 z i m _1,b uo j _3 ts_ M7 _1 l i m _1 z i m _1,b uo j _3 tS M7 _1 l i m _1 dZ i m _1
71,PTL_7_NU_S0008_114,S M _3 t 7 _5a m a N _1 s M _5a S 7 _3 m uo N _1 t_h u _5a n E _2,S M _3 t 7 _5a m a N _1 s M _5a s M _3 m uo N _1 t_h u _5a n E _2,S M _3 t 7 _5a m a N _1 s M _5a S M _3 m uo _5b t u _5a n E _2
72,TPA_Nu_6_S0009_53,G a _2 tS o Nm _5a S 7 _6a ts_ a_X j _6a m 7_X t _5b,G a _2 tS o Nm _5a s 7 _6a ts_ a_X j _6a m 7_X t _5b,v a _2 tS o Nm _5a S 7 _6a ts_ a_X j _3 m a_X t _5b
73,LXT_Nam_6_S0008_117,S a w _1 k 7_X w _6a b ie t _5b,s a w _1 k 7_X w _6a b ie t _5b,S a _1 k 7_X w _6a b ie t _5b
