,Path,Canonical,Transcript,Predict
15,110340,d an 4 t a 1 s ui 1 b u 4 k en 3 x ia 4 y ao 4,d an 4 t a 1 s ui 1 b u 4 k en 3 x ia 4 y ao 4,d 4 tf sh v b u h 4 sh 4
16,110341,q ve 4 d ao 4 ch u 4 g ao 4 s u 4 w o 3 m en 5 y i 2 g e 4 b ao 3 w ei 4 sh e 4 h ui 4 j ian 4 k ang 1 d e 5 w ei 4 sh eng 1 l iang 2 f a 3,q v 4 d ao 4 ch u 4 g ao 4 s u 4 w o 3 w o 3 m en 5 y i 2 g e 4 b ao 3 w ei 4 sh e 4 h ui 4 j ian 4 k ang 1 d e 5 w ei 4 sh eng 1 l iang 2,ch 4 d 3 zh 4 g 4 sh 4 3 g m e 3 4 y i g 3 b 4 w ei 4 sh e 4 h 4 j 4 k 4 d w ei 4 sh eng 3
17,110342,t a 1 f ang 3 f u 2 sh uo 1 d ao 4 r en 2 d e 5 sh en 1 t i 3 q van 2 k ao 4 x ve 4 l i 3 m ian 4,t a 1 f ang 3 f u 2 sh uo 1 d ao 4 r en 2 d e 5 sh en 1 t i 3 q van 2 k ao 4 k ao 4 x ve 3 k ao 4 x ve 3 l i 3 m ian 4,t a 1 f 4 f u 4 sh 5 d e d 5 sh i 2 t i 2 q 2 k 4 k 3 sh i k 4 sh i 5 l i 2 m 4
18,110343,f ang 1 c ai 2 k e 3 sh i 3 sh en 1 t i 3 j ian 4 q van 2 j ing 1 sh en 2 ch ong 1 z u 2,f ang 1 c ai 2 k e 3 sh i 3 sh en 1 t i 3 j ian 4 q van 2 j ing 1 sh en 2 ch ong 1 s u 4,2 s ai k 4 sh i sh i 2 j i 2 j 2 zh 2 j 2 sh i 2 zh 2 sh i 4
19,110344,sh e 4 h ui 4 j ve 2 m ei 2 y ou 3 b u 4 g ai 3 l iang 2 j in 4 b u 4 d e 5 d ao 4 l i 3,sh e 4 h ui 4 j iu 4 m ei 2 y ou 3 b u 4 g ai 3 l iang 2 j in 4 b u 4 d e 5 g ai 1 d ao 4 l i 3,sh 4 h u zh u b u 4 k ai 3 j ingvn 4 b u 3 d 4 g g d 3
20,110345,y i 1 b a 1 b a 1 s an 1 n ian 2 y i 4 b u 3 sh eng 1 x ie 3 x in 4 g ei 3 p eng 2 y ou 5 d ao 4,y i 1 b a 1 b a 1 s an 1 n ian 2 y i 4 b u 3 sh eng 1 x ie 3 x in 4 g ei 3 p eng 2 y ou 5 d ao 4,y i 4 b b s 4 y i 4 b u 4 sh x i 5 sh i e 4 b 4 d ao 4
21,110346,sh i 2 n ian 2 zh i 1 h ou 4,sh i 2 sh i 2 n ian 2 zh i 1 h ou 4,sh i ish i 4
22,110347,d an 4 sh i 4 zh e 4 sh i 2 n ian 2 zh i 1 zh ong 1 s i 1 y i 4 m an 4 z i 4 j i 3 y e 3 k e 4 k e 4 x iang 4 q ian 2 j in 4,d an 4 sh i 4 zh e 4 n i 3 zh e 4 sh i 2 n ian 2 sh i 4 zh i 1 zh ong 1 s i 1 y i 4 m an 4 z i 4 m an 4 z i 4 j i 3 y e 3 k e 4 k e 4 x iang 4 q ian 2 j in 4,d sh i zh i 4 zh i 4 sh i 4 sh i zh i 4 zh 4 s i i 4 m 4 z i y m i 4 zh i 4 h 4 k e s 4 q 2 zh 4
23,110348,s uo 3 y i 3 d ao 4 l e 5 sh i 2 n ian 2 zh i 1 h ou 4,s uo 3 y i 3 d ao 4 l e 5 sh i 2 n ian 2 zh i 1 h ou 4,f v 4 d sh i zh u h u 4
24,110349,t a 1 d e 5 j ian 4 d i 4 r eng 2 j iu 4 b i 3 sh e 4 h ui 4 d e 5 d uo 1 sh u 4 r en 2 h uan 2 g ao 1 sh i 2 n ian 2,t a 1 t a 1 d e 5 j ian 4 d i 4 r eng 2 r eng 2 j iu 4 b i 3 sh e 4 h ui 4 d e 5 d uo 1 sh u 4 r en 2 h uan 2 g ao 1 sh i 2 n ian 2,d d ai 1 r 4 zh 4 zh i r 4 zh i 4 d i sh i 4 h ui 4 d 4 h zh 4 sh u r 4 g sh i 4 2
25,110350,j i 2 y i 3 w o 3 g e 4 r en 2 er 2 l un 4 w o 3 j ve 2 d e 5 sh i 2 sh i 2 k e 4 k e 4 z ong 3 y ou 3 j in 4 j ing 4,j i 4 y i 3 w o 3 g e 4 r en 2 er 2 l un 4 w o 3 j v 4 w o 3 j ve 2 d e 5 sh i 2 sh i 2 k e 4 k e 4 z ong 3 y ou 3 j in 4 j ing 4,zh 3 g r 3 3 g 3 m 3 zh i 3 w 3 zh i 3 d e sh i sh i 5 k e 3 k 5 y 3 3 zh ing 1 zh 4
26,110351,w o 3 c ong 2 q ian 2 m ei 3 z uo 4 y i 4 b en 3 x i 4 sh i 2 d e 5 zh u 3 zh ang 1,w o 3 sh en 2 q ian 2 m ei 3 y ou 3 z uo 4 y i 4 b en 3 x i 4 sh i 2 d e 5 zh u 3 zh ang 1,o sh ai zh 4 b e s i sh i 5 d e zh u 4 zh 1
27,110352,r u 2 j in 1 d u 1 y i 3 j ian 4 j ian 4 b ian 4 ch eng 2 l e 5 h en 3 d uo 1 sh u 4 r en 2 d e 5 zh u 3 zh ang 1,r u 2 j in 1 d ou 1 y i 3 j ian 4 j ian 4 b ian 4 ch eng 2 l e 5 h en 3 d uo 1 sh u 4 r en 2 d e 5 zh u 3 zh ang 1,rr u 4 zh d u 4 y 4 j 2 j 4 p zh l 1 h h h 4 d 4 sh u r 4 d 4 zh 4 zh 1
28,110353,d an 4 sh i 4 d eng 3 d ao 4 t a 1 m en 5 g an 3 d ao 4 n a 4 l i 3 sh i 2 w o 3 j iu 3 y i 3 b u 4 z ai 4 n a 4 l i 3 l e 5,d an 4 sh i 4 d eng 3 d ao 4 t a 1 m en 5 g ang 1 d ao 4 n a 4 l i 3 sh i 2 w o 3 j iu 3 y i 3 b u 4 z ai 4 n a 4 l i 3 l e 5,d 4 sh i 4 d 3 d 4 t 3 m k 4 d 3 4 l sh i 3 3 zh i v 3 b u 3 3 3 l v 3 5
29,110354,w o 3 y ou 4 d ao 4 b ie 2 ch u 4 q v 4 l e 5,w o 3 y ou 3 w o 3 y ou 4 d ao 4 b ie 2 ch u 4 q v 4 l e 5,w o y 4 w y 4 d j ch u sh 5
30,110355,w o 3 x i 1 w ang 4 w o 3 z ong 3 sh i 4 x iang 4 q ian 2 q v 4 l e 5 ch i 3 d u 2 d i 4 y i 1 q i 1 er 4,w o 3 x i 1 w ang 4 w o 3 s ong 3 sh i 4 x iang 4 q ian 2 q v 4 l e 5 sh i 2 d u 2 j i 2 sh i 2 q i 1 er 4,w 3 s i 4 3 sh 3 sh 4 sh 4 j 4 j i 4 l 4 i 4 d u 3 j i 4 sh i 4 z i y 5 er 4
31,110356,er 2 z un 1 ch ong 2 d ong 1 f ang 1 w en 2 m ing 2 w ei 2 j ing 1 sh en 2 d e 5,er 2 z un 1 ch ong 2 d ong 1 f ang 1 w en 2 m ing 2 w ei 2 j ing 1 sh en 2 d e 5,ong 4 ch 4 g u f uu u 4 u 4 j ing 4 sh e 5
32,110357,zh e 4 b en 3 sh i 4 h en 3 l ao 3 d e 5 j ian 4 j ie 3 z ai 4 j in 1 r i 4 q ve 4 y ou 3 x in 1 x ing 1 d e 5 q i 4 x iang 4,zh e 4 b en 3 sh i 4 h en 3 l ao 3 d e 5 j ian 4 j ie 3 z ai 4 j in 1 r i 4 q ve 4 y ou 3 y ou 3 x in 1 x ing 1 d e 5 q i 4 x iang 4,zh 4 b 4 sh 3 h 3 3 d e j 4 zh i 4 e 3 j in 5 q i 3 s iin 4 s in d e 4 j i x 4
33,110358,c ong 2 q ian 2 d ong 1 f ang 1 m in 2 z u 2 sh ou 4 l e 5 x i 1 y ang 2 m in 2 z u 2 d e 5 y a 1 p o 4,c ong 2 q ian 2 d ong 1 f ang 1 m in 2 z u 2 sh ou 4 l e 5 s i 4 s i 4 y an 2 m in 2 z u 2 d e 5 y a 1 p o 4,sh eng 4 ch d ong 4 f m 4 u sh 4 4 sx i 4 4 b u 4 d 5 4 4
34,110359,w ang 3 w ang 3 y ong 4 zh e 4 zh ong 3 j ian 4 j ie 3 l ai 2 j ie 3 ch ao 2 l ai 2 an 1 w ei 4 z i 4 j i 3,w ang 3 w ang 3 y ong 4 zh e 4 zh ong 3 j ian 4 j i 2 l ai 2 j ie 3 ch ao 2 l ai 2 an 1 w ei 4 z i 4 j i 3,w o 4 zh 4 zh eng 4 j j i 4 j 4 ch ao 4 zh ai 4 w 4 z i 4 j i 3
35,110360,j in 4 j i 3 n ian 2 l ai 2,j in 4 j i 3 n ian 2 l ai 2,j iu 2
36,110361,zh e 4 zh ong 3 y i 4 l un 4 b en 3 l ai 2 zh i 3 sh i 4 y i 4 sh i 2 d e 5 b ing 4 t ai 4 d e 5 x in 1 l i 3,zh e 4 zh ong 3 y i 4 l un 4 b en 3 l ai 2 zh i 3 sh i 4 y i 4 sh i 2 d e 5 b ing 4 t ai 4 b ing 4 t ai 4 d e 5 x in 1 l i 3,zh 4 zh 4 y i 4 l b e 3 l zh sh i y sh i 4 d 3 d 4 t b 4 t 2 d e 3 s l 3
37,110362,q ve 4 zh eng 4 t ou 2 h e 2 l e 5 d ong 1 f ang 1 m in 2 z u 2 d e 5 k ua 1 d a 4 k uang 2,q ve 4 zh eng 4 t ou 2 h e 2 h e 2 l e 5 d ong 1 f ang 1 m in 2 z u 2 d e 5 k ua 1 d a 4 k uang 2,q 4 zh t 4 h h 4 d ong 4 f ang m u 4 d 4 k 4 d 4 f uang 2
38,110363,d ong 1 f ang 1 d e 5 j iu 4 sh i 4 l i 4 j iu 4 y in 1 c i 3 z eng 1 j ia 1 l e 5 b u 4 sh ao 3 d e 5 q i 4 y an 4,d ong 1 f ang 1 d e 5 j iu 4 sh i 4 l i 4 j iu 4 y in 1 c i 3 z eng 1 j ia 1 l e 5 e 5 b u 4 sh ao 3 d e 5 q i 4 y ang 4,d ong 1 f 4 d zh 3 sh 3 l 3 j 3 y 4 s i 3 s 3 j l 3 er 3 b u 3 sh 3 d e j i y 4
39,110364,w o 3 m en 5 b u 2 y van 4 k ai 1 d ao 4 ch e 1 d e 5 sh ao 4 n ian 2 r en 2,w o 3 m en 5 b u 2 y van 4 k ai 1 k ai 1 d ao 4 ch e 1 d e 5 sh ao 4 n ian 2 r en 2,w o b u 4 k ai k ai 4 d 4 ch 4 d sh 4 r 2
40,110365,d ui 4 y v 2 zh e 4 g e 5 w en 4 t i 2 b u 4 n eng 2 m ei 2 y ou 3 y i 4 zh ong 3 ch e 4 d i 3 d e 5 j ian 4 j ie 3,d ui 4 y v 2 zh e 4 g e 5 w en 4 t i 2 b u 4 n eng 2 m ei 2 y ou 3 y i 4 zh ong 3 d e 5 ch e 4 d i 3 d e 5 j ian 4 j ie 3,zh i zh 3 e 4 i u 4 y 3 4 zh 3 3 ch i 4 j i 4 d j zh i 3
41,110366,b u 4 n eng 2 m ei 2 y ou 3 y i 4 zh ong 3 x ian 1 m ing 2 d e 5 b iao 3 sh i 4,b u 4 n eng 2 m ei 2 y ou 3 y i 4 zh ong 3 x iang 4 m ing 2 d e 5 b iao 3 sh i 4,b u 4 m 4 g 4 zh x 4 d 4 b 4 sh 4
42,110367,x ian 4 z ai 4 g ao 1 t an 2 j ing 1 sh en 2 w en 2 m ing 2 w u 4 zh i 4 w en 2 m ing 2 d e 5 r en 2,x ian 4 z ai 4 g ao 1 t an 2 j ing 1 sh en 2 w en 2 m ing 2 w u 4 zh i 4 w en 2 m ing 2 d e 5 r en 2,x i 4 s 4 d 4 c 4 zh 4 sh w 4 r 4 zh 4 l 4 d 2
43,110368,w ang 3 w ang 3 m ei 2 y ou 3 g ong 4 t ong 2 d e 5 b iao 1 zh un 3 z uo 4 t ao 3 l un 4 d e 5 j i 1 ch u 3,w ang 3 w ang 3 m ei 2 y ou 3 g ong 4 t ong 2 d e 5 b iao 1 zh un 3 z uo 4 t ao 3 t ao 3 l un 4 d e 5 j i 1 sh u 4,mei g t d e b 4 zh zh u 4 t 3 t ou 4 zh i sh u 3
44,110369,g u 4 zh i 3 n eng 2 z uo 4 w en 2 z i 4 sh ang 4 h uo 4 b iao 3 m ian 4 sh ang 4 d e 5 zh eng 1 l un 4,g u 4 zh i 3 n eng 2 z uo 4 w en 2 z i 4 d e 5 zh ang 3 h uo 4 b iao 3 m ian 4 sh ang 4 d e 5 zh eng 1 l un 4,g 4 sh n 2 4 y zh 3 zh 2 d zh 2 l 4
45,110370,er 2 b u 4 n eng 2 y ou 3 g en 1 b en 3 d e 5 l iao 3 j ie 3,er 2 b u 4 n eng 2 y ou 3 g en 1 b en 3 d e 5 l iao 3 j ie 3,k b u k e d e zh e 3
46,110371,w o 3 x iang 3 t i 2 ch u 1 j i 3 g e 5 j i 1 b en 3 g uan 1 n ian 4 l ai 2 z uo 4 t ao 3 l un 4 d e 5 b iao 1 zh un 3,w o 3 x iang 3 t i 2 ch u 1 j i 3 g e 5 j i 1 b en 3 g uan 1 n ian 4 d e 5 g uan 1 l ai 2 z uo 4 t ao 3 l un 4 d e 5 b iao 1 zh un 3,w o 3 sh i 4 zh i 4 zh u 4 i g e 4 j i b 4 g 4 d 4 f 4 t 3 4 d 4 b iao 4 zh 5
47,110372,d i 4 y i 1,d i 4 y i 1,i i 1
48,110373,d i 4 er 4,d i 4 er 4,i 1
49,110374,d i 4 s an 1 f an 2 y i 4 zh ong 3 w en 2 m ing 2 d e 5 z ao 4 ch eng 2,d i 4 s an 1 f an 2 y i 4 zh ong 3 w en 2 m ing 2 d e 5 z ao 4 ch eng 2,d i s 4 hf a v d u d e s zh 4
50,110375,b i 4 y ou 3 l iang 3 g e 4 y in 1 z i 3 y i 2 sh i 4 w u 4 zh i 4 d e 5,b i 4 y ou 3 l iang 3 g e 4 y in 1 e 5 z i 3 y i 2 sh i 4 w u 4 zh i 4 d e 5,b i y iu 3 y g e 4 i 4 4 sh i 4 w u 4 zh iu 4 d 5
51,110376,b ao 1 k uo 4 zh ong 3 zh ong 3 z i 4 r an 2 j ie 4 d e 5 sh i 4 l i 4 y v 3 zh i 4 l iao 4 y i 2 sh i 4 j ing 1 sh en 2 d e 5,b ao 1 k uo 4 b ao 1 k uo 4 zh ong 3 zh ong 3 z i 4 r an 2 j ie 4 d e 5 sh i 4 l i 4 y v 3 zh i 4 l iao 4 y i 2 sh i 4 j ing 1 sh en 2 d e 5,b 4 h 4 b 4 h 4 zh 4 zh 4 s i j i 4 d e 4 sh i 4 l v 4 v j i 4 l 4 y i sh i 4 zh ing sh i d 5
52,110378,g an 3 q ing 2 h e 2 l i 3 x iang 3,g an 3 q ing 2 h e 2 l i 3 x iang 3,r 4 j h 4 sh 3
53,110379,m ei 2 y ou 3 y i 4 zh ong 3 w en 2 m ing 2 sh i 4 j ing 1 sh en 2 d e 5,m ei 2 y ou 3 y i 4 zh ong 3 w en 2 m ing 2 sh i 4 j ing 1 sh en 2 d e 5,m 4 b zh w 4 sh j sh d 5
54,110380,y e 3 m ei 2 y ou 3 y i 4 zh ong 3 w en 2 m ing 2 d an 1 sh i 4 w u 4 zh i 4 d e 5,y e 3 m ei 2 y ou 3 y i 4 zh ong 3 w en 2 m ing 2 d an 1 sh i 4 w u 4 zh i 4 d e 5,4 zh sh i u v 4 5
55,110381,w o 3 x iang 3 zh e 4 s an 1 g e 4 g uan 1 n ian 4 sh i 4 b u 4 x v 1 x iang 2 x i 4 sh uo 1 m ing 2 d e 5,w o 3 m en 5 x iang 3 zh e 4 s an 1 g e 4 g uan 1 n ian 4 sh i 4 b u 4 x v 1 x iang 2 x ie 1 sh uo 1 m ing 2 d e 5,3 5 sh 4 zh e 5 s 4 g e 4 4 4 sh i 4 b u 4 sh i 4 sh 4 x i 5 sh 4 m 4 d e 5
56,110382,sh i 4 y an 2 j iu 1 zh e 4 g e 5 w en 4 t i 2 d e 5 r en 2 d u 1 k e 3 y i 3 ch eng 2 r en 4 d e 5,sh i 4 y an 2 j iu 1 zh e 4 g e 5 w en 4 t i 2 d e 5 r en 2 r en 2 d ou 1 k e 3 y i 3 sh eng 4 r en 4 d e 5,sh i 4 zh 4 zh 4 g 4 j d 4 4 d 4 k sh 4 r 4 d 5
57,110383,y i 4 zh i 1 w a 3 p en 2 h e 2 y i 4 zh i 1 t ie 3 zh u 4 d e 5 d a 4 zh eng 1 q i 4 l u 2,y i 4 zh i 1 w a 3 p en 2 h e 2 y i 4 zh i 1 t ie 3 zh u 4 d e 5 d a 4 zh eng 1 q i 4 l u 2,y i 4 y iv w 3 en 2 3 y i 3 j i 3 j 2 zh u 4 d d a zh q i 2 l u 2
58,110384,y i 4 zh i 1 sh an 1 b an 3 ch uan 2 h e 2 y i 4 zh i 1 d a 4 q i 4 ch uan 2,y i 4 j i 1 sh an 1 b an 3 ch uang 2 h e 2 y i 4 j i 1 d a 4 q i 4 ch uang 2,i iv sh b f 1 h 4 b i 4 j i 4 d 4 q i ch ong 2
59,110385,y i 2 b u 4 d an 1 l un 2 x iao 3 ch e 1 h e 2 y i 2 l iang 4 d ian 4 l i 4 j ie 1 ch e 1,y i 2 b u 4 d an 1 l un 2 x iao 3 x iao 3 ch e 1 h e 2 y i 2 l iang 4 j ian 4 l i 4 j ie 1 ch e 1,i 4 u 4 d r 4 sh 4 sh ao 4 ch ie 4 h e 4 y i 4 j ian i 4 j i 4 ch 1
60,110386,t ong 2 y ou 3 w u 4 zh i 4 d e 5 j i 1 ch u 3 t ong 2 y ou 3 r en 2 l ei 4 d e 5 x in 1 s i 5 c ai 2 zh i 4,t ong 2 y ou 3 w u 4 zh i 4 d e 5 j i 1 ch u 3 t ong 2 y ou 3 r en 2 l ei 4 d e 5 x in 1 s i 5 c ai 2 zh i 4,t ong 1 y u 4 zh i 3 d e 4 j i 4 ch u t ong 4 ei 4 d 4 s i 4 s i 5 s ai 4 zh i 4
61,110387,zh e 4 l i 3 m ian 4 zh i 3 y ou 3 g e 4 j ing 1 c u 1 q iao 3 zh uo 2 d e 5 ch eng 2 d u 4 sh ang 4 d e 5 ch a 1 y i 4,zh e 4 l i 3 m ian 4 zh i 3 y ou 3 g e 4 j ing 1 c u 1 q iao 3 zh uo 2 d e 5 ch eng 2 d u 4 ch eng 2 d u 4 sh ang 4 d e 5 ch a 1 j i 4 ch a 1 y i 4,zh 4 zh 4 2 j 4 g 4 zh ing 4 s 4 h u 4 d 4 zh g u zh 4 g zh 4 d 4 zh 5 q 4 zh 4
62,110388,q ve 4 m ei 2 y ou 3 g en 1 b en 3 sh ang 4 d e 5 b u 4 t ong 2,q ve 4 m ei 2 y ou 3 g en 1 b en 3 sh ang 4 d e 5 b u 4 t ong 2,q v 4 k e 4 sh ang 4 d 4 b u 4 f 2
63,110389,zh eng 1 q i 4 t ie 3 l u 2 g u 4 r an 2 b u 2 b i 4 x iao 4 w a 3 p en 2 d e 5 y ou 4 zh i 4,zh eng 1 q i 4 t ie 3 l u 2 g u 4 r an 2 b u 2 x iao 4 w a 3 p en 2 d e 5 y ou 4 zh i 4,zh 4 q i 2 r u 4 gk u b u 2 sh 4 4 k 4 d e y 3 zh i 4
64,110390,d an 1 l un 2 x iao 3 ch e 1 sh ang 4 d e 5 r en 2 y e 3 g eng 1 b u 2 p ei 4 z i 4 k ua 1 t a 1 d e 5 j ing 1 sh en 2 d e 5 w en 2 m ing 2,d an 1 l un 2 x iao 3 ch e 1 sh ang 4 d e 5 r en 2 y e 3 g eng 1 b u 2 p ei 4 p ie 4 z i 4 k ua 1 t a 1 d e 5 j ing 1 sh en 2 d e 5 w en 2 m ing 2,d an un 4 x 3 zh i 5 sh 4 d 5 2 g e b u 4 p ei 4 p uiei i 5 h 5 t ai 5 d 5 j ing 2 sh 4 d e 5 ui m 4
65,110391,er 2 q ing 1 sh i 4 d ian 4 ch e 1 sh ang 4 r en 2 d e 5 w u 4 zh i 4 d e 5 w en 2 m ing 2,er 2 er 2 q ing 1 sh i 4 j ian 3 sh i 3 d ian 4 ch e 1 sh ang 4 r en 2 d e 5 w u 4 zh i 4 d e 5 w en 2 m ing 2,er e 4 j ian 4 sh j 2 sh i 4 j ch 4 sh 4 r 2 d e w 2 zh i 4 d 2 m ei 2
66,110392,y in 1 w ei 4 y i 2 q ie 4 w en 2 m ing 2 d u 1 sh ao 3 b u 5 l iao 3 w u 4 zh i 4 d e 5 b iao 3 x ian 4,y in 1 w ei 4 y i 2 q ie 4 w en 2 m ing 2 d ou 1 sh ao 3 b u 5 l iao 3 w u 4 zh i 4 d e 5 b iao 3 x ian 4,y ei i q 4 d u 3 sh e w u 4 4 u 3 zh i 4 d e 3 x 4
67,110393,w o 3 m en 5 sh uo 1 y i 2 b u 4 m o 2 t uo 1 ch e 1 sh i 4 y i 4 zh ong 3 w u 4 zh i 4 d e 5 w en 2 m ing 2,w o 3 m en 5 sh uo 1 y i 2 b u 4 m o 2 t uo 1 ch e 1 m o 2 t uo 1 ch e 1 sh i 4 y i 4 zh ong 3 w u 4 zh i 4 d e 5 w en 2 m ing 2,w o 3 4 sh i 4 b u 4 t 4 ch e b 4 t e 4 zh sh i 4 y i 4 zh w u 4 zh 4 d 5 w 2
68,110394,b u 2 g uo 4 d an 1 zh i 3 t a 1 d e 5 w u 4 zh i 4 d e 5 x ing 2 t i 3,b u 2 g uo 4 d an 1 zh i 3 t a 1 d e 5 w u 4 zh i 4 d e 5 x ing 2 t i 3,b u 1 h 4 d 4 zh 4 t 4 r u 4 zh i 4 d 4 s i 4 zhq i 3
