,Path,Canonical,Transcript
10,DGB_7_NAM_S0003_164,t_h 7_X n _2 n O j _2 r o Nm _2 S M k _5b x wp E _3 f i _1 t_h M7 N _2 d a _4 dZ u p _5b z 7_X n _1 z ie t _6b tS M _2 J ie w _2 ie w _1 k wp a j _5a,t_h 7_X n _2 n O j _2 r o Nm _2 s M k _5b x wp E _3 f i _1 t_h M7 N _2 d a _4 dZ u p _5b z 7_X n _1 z ie t _6b tS M _2 J ie w _2 ie w _1 k wp a j _5a
11,ĐNK_7_NU_S0048_171,b a j _2 t_h 7 _1 t a _3 z a N _5a v E _3 k uo _3 m o j _4 l wp a j _2 ts_ i m _1 d e n _5a b 7 _2 tS E _1 x a k _5b J a_X w _1 t_h e _5a n a w _2,b a j _2 t_h 7 _1 t a _3 z a N _5a v E _3 k uo _3 m o j _4 l wp a j _2 ts_ i m _1 d e n _5a b 7 _2 tS E _1 x a k _5b J a_X w _1 t_h e _5a n a w _2
12,GQM_Nam_6_S0006_40,ts_ uo t _6b m E _6a l a _1 l 7 n _5a J M _1 t_h e _5a n a w _2,ts_ uo t _6b m E _6a l a _1 l 7 n _5a J M _1 t_h e _5a n a w _2
13,PC_7_NAM_S0004_96,t 7 _5a r 7_X t _5b t_h i k _5b v e _2 k wp e _1,t 7 _5a z 7_X t _5b t_h i k _5b v e _2 k wp e _1
14,NMA_7_NU_S0002_105,J M N _4 k O n _1 v 7_X t _6b n a w _2 J O _3 n a w _2 k u Nm _4 d M7 k _6b t_h a _1 d i w _6a h a_X j _1 k O_X Nm _4 m a _2 f a j _3 t M _6a d i _1 t_h E w _1 m E _6a,J M N _4 k O n _1 v 7_X t _6b n a w _2 J O _3 n a w _2 k u Nm _4 d M7 k _6b t_h a _1 z i w _6a h a_X j _1 k O_X Nm _4 m a _2 f a j _3 t M _6a d i _1 t_h E w _1 m E _6a
15,THA_Nu_6_S0001_16,d i _1 s E m _1 d E_X J _5a k a _5a,d i _1 s E m _1 d E_X J _5a k a _5a
16,PTT_7_NU_S0041_153,b 7 j _3 v i _2 m uo _2 h E _2 n e w _5a d M7 k _6b N i _3 h E _2,b 7 j _3 v i _2 m uo _2 h E _2 n e w _5a d M7 k _6b N i _3 h E _2
17,MK_7_NU_S0007_4,m E _6a t 7 _5a l a m _2 b o _5a t 7 _5a n 7_X w _5a d o _2 a_X n _1 k wp E t _5b z O n _6a J a _2 k M7 _3,m E _6a t 7 _5a l a m _2 b o _5a t 7 _5a n 7_X w _5a d o _2 a_X n _1 k wp E t _5b z O n _6a J a _2 k M7 _3
18,TPA_Nu_6_S0009_138,t_h 7_X j _5a k o _1 u t _5b d a N _1 J a w _2 b o t _6b S O_X kp _5b k O n _1 v o j _6a v a N _2 d M7 _1 t_h M _1 ts_ O _1 k o _1 u t _5b,t_h 7_X j _5a k o _1 u t _5b d a N _1 J a w _2 b o t _6b s O_X kp _5b k O n _1 v o j _6a v a N _2 d M7 _1 t_h M _1 ts_ O _1 k o _1 u t _5b
19,LDMT_Nam_6_S00047_7,d e m _1 k wp a _1 E m _1 n a_X m _2 m 7 _1 z E p _5b ts_ i p _5b ts_ i p _5b k uo _3 E m _1 b i _6a ts_ O _5a l u _1 t_h a _1 d i _1,d e m _1 k wp a _1 E m _1 n a_X m _2 m 7 _1 z E p _5b ts_ i p _5b ts_ i p _5b k uo _3 E m _1 b i _6a ts_ O _5a l u _1 t_h a _1 d i _1
20,NTM_Nam_6_S00010_33,k a j _2 k a j _5a d O _3 d 7_X m _4 k a j _5a d O _3 a_X m _4 E m _1,k a j _2 k a j _5a d O _3 d 7_X m _4 k a j _5a d O _3 a_X m _4 E m _1
21,THA_7_NU_S0043_44,N wp ie n _4 N O_X kp _6b k i _5a l a _2 t 7_X m _5a G M7 N _1 S a N _5a v e _2 b i _5a tS i _5a k wp 7_X t _6b x O _5a,N wp ie n _4 N O_X kp _6b k i _5a l a _2 t 7_X m _5a G M7 N _1 S a N _5a v e _2 b i _5a tS i _5a k wp 7_X t _6b x O _5a
22,PTL_7_NU_S0008_176,k a _5a S 7_X w _5a m E _6a t_h a _1 t M N _2 d M7 _5a k O n _1 tS O_X Nm _1 m ie N _6a d e n _5a n 7 j _1 n O _5a m uo n _5a m a _2 x o Nm _1 l a m _2 d a_X w _1 k O n _1,k a _5a s 7_X w _5a m E _6a t_h a _1 t M N _2 d M7 _5a k O n _1 tS O_X Nm _1 m ie N _6a d e n _5a n 7 j _1 n O _5a m uo n _5a m a _2 x o Nm _1 l a m _2 d a_X w _1 k O n _1
23,ĐNK_7_NU_S0048_2,t 7 _5a d O_X kp _6b tS M7 k _5b,t 7 _5a d O_X kp _6b tS M7 k _5b
24,PC_7_NAM_S0004_85,b uo j _3 J M N _4 b uo j _3 t o j _5a N a_X j _2 N i _3 n O _5a f u n _1 l M7 _3 r 7_X t _5b d E p _6b d 7_X j _5a,b uo j _3 J M N _4 b uo j _3 t o j _5a N a_X j _2 N i _3 n O _5a f u n _1 l M7 _3 z 7_X t _5b d E p _6b d 7_X j _5a
25,PTL_7_NU_S0008_37,b a n _6a t_h 7_X j _5a k O n _1 dZ i _2 d 7_X w _2 t ie n _1,b a n _6a t_h 7_X j _5a k O n _1 dZ i _2 d 7_X w _2 t ie n _1
26,TTD_7_NAM_S0001_150,r o j _2 b 7_X j _1 dZ 7 _2 t o j _1 h O j _3 k 7_X w _6a J 7 _5a tS O_X Nm _1 b a j _2 t_h 7 _1,z o j _2 b 7_X j _1 dZ 7 _2 t o j _1 h O j _3 k 7_X w _6a J 7 _5a tS O_X Nm _1 b a j _2 t_h 7 _1
27,TPA_Nu_6_S0009_130,ts_ i _6a h a j _1 7 j _1 m E _6a ts_ i _6a d a N _1 o m _5a d 7_X j _5a ts_ i _6a h a_X j _4 v e _2 t_h a_X m _1 m E _6a d i _1 N a_X j _1 d i _1,ts_ i _6a h a j _1 7 j _1 m E _6a ts_ i _6a d a N _1 o m _5a d 7_X j _5a ts_ i _6a h a_X j _4 v e _2 t_h a_X m _1 m E _6a d i _1 N a_X j _1 d i _1
28,NMA_7_NU_S0002_153,d 7_X j _1 d O _2 k 7_X p _6b b e n _5a,d 7_X j _1 d O _2 k 7_X p _6b b e n _5a
29,CNBA_Nu_6_S0003_97,t 7 _5a d o _5a N wp ie n _1 x a N _1 n a N _2 t ie n _1 k a _5a k O _5a J M N _4 dZ i _2 h i J _2 z a N _6a dZ i _2,t 7 _5a d o _5a N wp ie n _1 x a N _1 l a N _2 t ie n _1 k a _5a k O _5a J M N _4 dZ i _2 h i J _2 z a N _6a dZ i _2
30,ĐNK_7_NU_S0048_240,k a k _5b b a n _6a d a p _5b l a j _6a t_h e _5a n a w _2,k a k _5b b a n _6a d a p _5b l a j _6a t_h e _5a n a w _2
31,TTT_Nu_6_S00049_14,t 7 _5a d o _5a b a n _6a,t 7 _5a d o _5a b a n _6a
32,NMA_7_NU_S0002_140,k O _5a k O _2 b a_X j _1 N M7 k _6b dZ O _5a,k O _5a k O _2 b a_X j _1 N M7 k _6b dZ O _5a
33,PTL_7_NU_S0008_174,J M N _1 ts_ u Nm _5a N wp a m _6a r 7_X t _5b x E w _5a d e _3 x o Nm _1 l a m _2 d a_X w _1 k O n _1 r 7 j _1 k O n _1,J M N _1 ts_ u Nm _5a N wp a m _6a r 7_X t _5b x E w _5a d e _3 x o Nm _1 l a m _2 d a_X w _1 k O n _1 r 7 j _1 k O n _1
34,NMA_7_NU_S0002_209,d O_X kp _6b k 7_X w _1 t_h 7 _1 S a_X w _1 v a _2 ts_ O _1 b ie t _5b k a k _5b h u Nm _2 v M7 N _1 l a _2 a j _1,d O_X kp _6b k 7_X w _1 t_h 7 _1 s a_X w _1 v a _2 ts_ O _1 b ie t _5b k a k _5b h u Nm _2 v M7 N _1 l a _2 a j _1
35,NTN_7_NU_S0042_16,t_h a w _3 J i _1 7 j _1 tS M7 N _2 k uo _3 ts_ u Nm _5a m i J _2 m a N _1 t e n _1 m o t _6b N M7 j _2 E_X J _1 h u Nm _2 l ie t _6b S i _4 d 7_X j _5a,t_h a w _3 J i _1 7 j _1 tS M7 N _2 k uo _3 ts_ u Nm _5a m i J _2 m a N _1 t e n _1 m o t _6b N M7 j _2 E_X J _1 h u Nm _2 l ie t _6b S i _4 d 7_X j _5a
36,PTT_7_NU_S0041_44,d o Nm _1 k 7_X m _2 t a_X j _1 s wp 7_X n _1 b a w _3,d o Nm _1 k 7_X m _2 t a_X j _1 s wp 7_X n _1 b a w _3
37,ĐNK_7_NU_S0048_273,S a N _5a h o m _1 S a_X w _1 t_h 7_X j _5a S 7 n _1 k a _1 d a _4 ts_ e t _5b,S a N _5a h o m _1 S a_X w _1 t_h 7_X j _5a S 7 n _1 k a _1 d a _4 ts_ e t _5b
38,ĐNK_7_NU_S0048_313,t 7 _5a k u Nm _4 m uo n _5a n O j _5a,t 7 _5a k u Nm _4 m uo n _5a n O j _5a
39,GQM_Nam_6_S0006_62,k O _5a b a _2 t 7 _5a o Nm _1 t 7 _5a k O _5a k a _3 b o _5a m E _6a t 7 _5a,k O _5a b a _2 t 7 _5a o Nm _1 t 7 _5a k O _5a k a _3 b o _5a m E _6a t 7 _5a
40,MK_7_NU_S0007_2,dZ a _1 d i J _2 k uo _3 t 7 _5a k O _5a b o n _5a N M7 j _2,dZ a _1 d i J _2 k uo _3 t 7 _5a k O _5a b o n _5a N M7 j _2
41,THA_7_NU_S0043_2,ts_ u Nm _5a t o j _1 r 7_X t _5b N a k _6b J ie n _1,ts_ u Nm _5a t o j _1 r 7_X t _5b N a k _6b J ie n _1
42,NMA_7_NU_S0002_274,k uo k _6b t_h i _1 d M7 k _6b t o _3 ts_ M k _5b t M _2 n a_X m _1 h a j _1 h a j _1 N i n _2 l i J _1 t a m _5a m o j _4 n a_X m _1 m o t _6b l 7_X n _2,k uo k _6b t_h i _1 d M7 k _6b t o _3 ts_ M k _5b t M _2 l a_X m _1 h a j _1 h a j _1 N i n _2 l i J _1 t a m _5a m o j _4 l a_X m _1 m o t _6b l 7_X n _2
43,PC_7_NAM_S0004_26,b a j _2 t_h 7 _1 t a _3 z a N _5a v E _3 k uo _3 m o j _4 l wp a j _2 ts_ i m _1 d e n _5a b 7 _2 tS E _1 x a k _5b J a_X w _1 J M _1 t_h e _5a n a w _2,b a j _2 t_h 7 _1 t a _3 z a N _5a v E _3 k uo _3 m o j _4 l wp a j _2 ts_ i m _1 d e n _5a b 7 _2 tS E _1 x a k _5b J a_X w _1 J M _1 t_h e _5a n a w _2
44,PTT_7_NU_S0041_39,n a N _2 t ie n _1 h a _6a t M7 N _6a tS M N _1 ts_ O _1 m uo _2 h a _6a,n a N _2 t ie n _1 h a _6a t M7 N _6a tS M N _1 ts_ O _1 m uo _2 h a _6a
45,PTT_7_NU_S0041_75,k O n _2 m uo _2 d o Nm _1 d a N _1 ie w _1 l a _2 b 7 j _3 v i _2 m uo _2 d a N _1 7_X p _5b k uo _3 m 7_X m _2 S o Nm _5a d e _3 d e _3 s wp 7_X n _1 v e _2 k 7_X j _1 k o j _5a S E _4 d 7_X m _1 ts_ o j _2 n a_X j _3 l o kp _6b,k O n _2 m uo _2 d o Nm _1 d a N _1 ie w _1 l a _2 b 7 j _3 v i _2 m uo _2 d a N _1 7_X p _5b k uo _3 m 7_X m _2 S o Nm _5a d e _3 d e _3 s wp 7_X n _1 v e _2 k 7_X j _1 k o j _5a S E _4 d 7_X m _1 ts_ o j _2 n a_X j _3 l o kp _6b
46,TPA_Nu_6_S0009_55,t_h a_X j _1 t_h E w _1 t 7 _5a k a k _5b i _5a d u Nm _5a v 7 j _5a n o j _6a z u Nm _1 ts_ wp ie n _6a l a _2,t_h a_X j _1 t_h E w _1 t 7 _5a k a k _5b i _5a d u Nm _5a v 7 j _5a n o j _6a z u Nm _1 ts_ wp ie n _6a l a _2
47,TPA_Nu_6_S0009_81,N E _1 ts_ i _6a k a _3 n O j _5a s O_X Nm _1 S O_X kp _5b k O n _1 dZ 7_X n _6a dZ M _4 m a_X N _5a ts_ i _6a k a _3,N E _1 ts_ i _6a k a _3 n O j _5a s O_X Nm _1 s O_X kp _5b k O n _1 dZ 7_X n _6a dZ M _4 m a_X N _5a ts_ i _6a k a _3
48,NNM_Nu_6_S00045_24,s e _1 k O _5a m a _5a b E _5a l e _1 ts_ a _3 S 7 _6a n M7 _4,s e _1 k O _5a m a _5a b E _5a l e _1 ts_ a _3 S 7 _6a n M7 _4
49,TPA_Nu_6_S0009_119,ts_ i _6a k a _3 7 j _1 ts_ i _6a v e _2 J a _2 d i _1 m E _6a ts_ i _6a d a N _1 o m _5a d 7_X j _5a,ts_ i _6a k a _3 7 j _1 ts_ i _6a v e _2 J a _2 d i _1 m E _6a ts_ i _6a d a N _1 o m _5a d 7_X j _5a
50,LDMT_Nam_6_S00047_47,k O _2 v M7 _2 N u _3,k O _2 v M7 _2 N u _3
51,PTL_7_NU_S0008_72,ts_ u Nm _5a z u Nm _2 r a_X N _1 N wp a m _6a ts_ a_X t _6b z a _1 k o _3 k uo _3 k O n _1 dZ M _4 k O n _1 l u Nm _3 l a_X N _3 tS e n _1 S uo t _5b d M7 N _2 d i _1,ts_ u Nm _5a z u Nm _2 r a_X N _1 N wp a m _6a ts_ a_X t _6b z a _1 k o _3 k uo _3 k O n _1 dZ M _4 k O n _1 l u Nm _3 l a_X N _3 tS e n _1 s uo t _5b d M7 N _2 d i _1
52,GQM_Nam_6_S0006_20,k O n _1 m a _2 d e n _5a G 7_X n _2 n O _5a S E _4 a_X n _1 t_h i t _6b d O _5a,k O n _1 m a _2 d e n _5a G 7_X n _2 n O _5a S E _4 a_X n _1 t_h i t _6b d O _5a
53,CNBA_Nu_6_S0003_75,t 7 _5a d a _4 J i n _2 t_h 7_X j _5a k a _5a h E w _1 v a _2 k uo _1,t 7 _5a d a _4 J i n _2 t_h 7_X j _5a k a _5a h E w _1 v a _2 k uo _1
54,NTM_Nam_6_S00010_44,J a _2 b a n _6a k O _5a J M N _4 k O n _1 v 7_X t _6b dZ i _2,J a _2 b a n _6a k O _5a J M N _4 k O n _1 v 7_X t _6b dZ i _2
55,PTL_7_NU_S0008_178,G 7_X w _5a t u j _5a k O n _1 tS e n _1 S a_X w _5a t_h a N _5a t uo j _3 f a j _3 t M _6a b a m _5a ts_ a_X k _5b v a w _2 l M N _1 m E _6a x i _1 m E _6a z i _1 ts_ wp ie n _3,G 7_X w _5a t u j _5a k O n _1 tS e n _1 s a_X w _5a t_h a N _5a t uo j _3 f a j _3 t M _6a b a m _5a ts_ a_X k _5b v a w _2 l M N _1 m E _6a x i _1 m E _6a z i _1 ts_ wp ie n _3
56,CNBA_Nu_6_S0003_62,b ie n _3 d E p _6b k wp a _5a,b ie n _3 d E p _6b k wp a _5a
57,NMA_7_NU_S0002_221,k E _3 m ie n _2 b ie n _3 N M7 j _2 m ie n _2 n u j _5a x i _1 k O _5a v ie k _6b t_h i _2 dZ u p _5b d 7 _4 l 7_X n _4 J a_X w _1,k E _3 m ie n _2 b ie n _3 N M7 j _2 m ie n _2 l u j _5a x i _1 k O _5a v ie k _6b t_h i _2 dZ u p _5b d 7 _4 l 7_X n _4 J a_X w _1
58,TTD_7_NAM_S0001_15,t M _2 t M _2 m a_X t _5b m a_X t _5b d E n _1 m a t _5b z i w _6a v a N _2,t M _2 t M _2 m a_X t _5b m a_X t _5b d E n _1 m a t _5b z i w _6a v a N _2
59,NHM_7_NU_S0006_60,m M7 _1 z 7_X m _2 d e _2 m M7 _1 S M7 t _5b m M7 t _5b N a_X j _2 n a_X j _2 k wp a _1 N a_X j _2 x a k _5b,m M7 _1 z 7_X m _2 d e _2 m M7 _1 s M7 t _5b m M7 t _5b N a_X j _2 n a_X j _2 k wp a _1 N a_X j _2 x a k _5b
60,LXT_Nam_6_S0008_42,b a k _5b ts_ O _5a t M k _5b m i J _2 t 7 p _6b ts_ O _1 m o t _6b k a j _5a,b a k _5b ts_ O _5a t M k _5b m i J _2 t 7 p _6b ts_ O _1 m o t _6b k a j _5a
61,VTA_Nam_6_S0002_13,t_h O _3 b E n _4 l E n _4,t_h O _3 b E n _4 l E n _4
62,HYT_Nu_6_S0005_60,tS a N _1 7 j _1 k 7_X w _6a d a _4 d M7 k _6b d i _1 b ie n _3 ts_ M7 _1,tS a N _1 7 j _1 k 7_X w _6a d a _4 d M7 k _6b d i _1 b ie n _3 ts_ M7 _1
63,PTT_7_NU_S0041_107,J a j _1 m a j _4 J a j _1 h wp a j _2,J a j _1 m a j _4 J a j _1 h wp a j _2
64,NTN_7_NU_S0042_42,v a _2 k a _3 k o _1 h ie w _6a tS M7 N _3 k u Nm _4 s uo N _5a t 7_X n _6a n 7 j _1 d O n _5a b O n _6a m i J _2,v a _2 k a _3 k o _1 h ie w _6a tS M7 N _3 k u Nm _4 s uo N _5a t 7_X n _6a n 7 j _1 d O n _5a b O n _6a m i J _2
65,NMA_7_NU_S0002_241,tS 7_X n _2 k uo k _5b t wp a n _3 v o _1 k u Nm _2 k a_X m _1 dZ 7_X n _6a,tS 7_X n _2 k uo k _5b t wp a n _3 v o _1 k u Nm _2 k a_X m _1 dZ 7_X n _6a
66,CNBA_Nu_6_S0003_130,S a_X w _1 d O _5a n O _5a G a_X p _6b J M N _4 k O n _1 dZ i _2,s a_X w _1 d O _5a l O _5a G a_X p _6b J M N _4 k O n _1 dZ i _2
67,PTT_7_NU_S0041_151,t 7 _5a k u Nm _4 t_h i k _5b m uo _2 h E _2,t 7 _5a k u Nm _4 t_h i k _5b m uo _2 h E _2
68,LXT_Nam_6_S0008_70,S O j _5a v a _2 z e _1,s O j _5a v a _2 z e _1
69,NHM_7_NU_S0006_174,b e _6a h a _6a d a N _5a k i J _5a ts_ u _3 J 7_X n _1 s i n _1 G M j _3 t 7 j _5a N a j _2 ts_ a w _2 m M N _2 m O n _5a k wp a _2 b ie w _5a,b e _6a h a _6a d a N _5a k i J _5a ts_ u _3 J 7_X n _1 s i n _1 G M j _3 t 7 j _5a N a j _2 ts_ a w _2 m M N _2 m O n _5a k wp a _2 b ie w _5a
70,TTD_7_NAM_S0001_70,m o j _4 n a_X m _1 b o _2 k 7_X w _1 d E _3 J ie w _2 l M7 _5a m o j _4 l M7 _5a h a j _1 tS M N _5a,m o j _4 l a_X m _1 b o _2 k 7_X w _1 d E _3 J ie w _2 l M7 _5a m o j _4 l M7 _5a h a j _1 tS M N _5a
71,LXT_Nam_6_S0008_10,ts_ u _5a r a _1 l e J _6a ts_ O _1 G a _2 m a j _5a m 7 _1,ts_ u _5a r a _1 l e J _6a ts_ O _1 G a _2 m a j _5a m 7 _1
72,GQM_Nam_6_S0006_93,n a N _2 t ie n _1 k a _5a l a m _2 dZ i _2 d e _3 z 7_X n _1 d i _1 b ie n _3 h e t _5b b uo n _2,n a N _2 t ie n _1 k a _5a l a m _2 dZ i _2 d e _3 z 7_X n _4 d i _1 b ie n _3 h e t _5b b uo n _2
73,THA_7_NU_S0043_56,S M _6a l wp ie n _6a t 7_X p _6b k ie n _1 tS i _2 k uo _3 t_h 7_X j _2 N wp ie n _4 N O_X kp _6b k i _5a d e _3 d a t _6b d M7 k _6b d ie w _2 m i J _2 m O_X Nm _1 M7 k _5b,S M _6a l wp ie n _6a t 7_X p _6b k ie n _1 tS i _2 k uo _3 t_h 7_X j _2 N wp ie n _4 N O_X kp _6b k i _5a d e _3 d a t _6b d M7 k _6b d ie w _2 m i J _2 m O_X Nm _1 M7 k _5b
74,NMA_7_NU_S0002_233,v i _6a v uo _1 d 7_X w _2 t ie n _1 l 7_X p _6b r a _1 n M7 k _5b t a _1 l a _2 a j _1,v i _6a v uo _1 d 7_X w _2 t ie n _1 l 7_X p _6b r a _1 n M7 k _5b t a _1 l a _2 a j _1
75,NMA_7_NU_S0002_53,r M N _2 l a _2 k 7_X j _1 s u m _5a s i t _5b,r M N _2 l a _2 k 7_X j _1 s u m _5a s i t _5b
76,ĐNK_7_NU_S0048_296,b e _1 d o j _5a v 7 j _5a h wp a _5a,b e _1 d o j _5a v 7 j _5a h wp a _5a
77,NHM_7_NU_S0006_111,n a_X m _1 7_X j _5a l uo _5a t o t _5b k wp a _5a b o Nm _1 n a w _2 k u Nm _4 k u Nm _4 b o Nm _1 n a w _2 b o Nm _1 n 7_X j _5a k u Nm _4 m 7_X j _3 d e w _2 n a_X N _6a tS i w _4,n a_X m _1 7_X j _5a l uo _5a t o t _5b k wp a _5a b o Nm _1 n a w _2 k u Nm _4 k u Nm _4 b o Nm _1 n a w _2 b o Nm _1 n 7_X j _5a k u Nm _4 m 7_X j _3 d e w _2 n a_X N _6a tS i w _4
78,THA_Nu_6_S00042_117,t 7 _5a d M7 k _6b s E m _1 tS e n _1 t i _1 v i _1 r o j _2,t 7 _5a d M7 k _6b s E m _1 tS e n _1 t i _1 v i _1 r o j _2
79,ĐNK_7_NU_S0048_187,t_h i _2 r a _1 S 7 n _1 k a _1 d a _4 b i _6a J o t _5b tS O_X Nm _1 l o Nm _2,t_h i _2 r a _1 S 7 n _1 k a _1 d a _4 b i _6a J o t _5b tS O_X Nm _1 l o Nm _2
80,ĐNK_7_NU_S0048_76,v i _1 v u _1 v i _1 v u t _5b t M _2 tS e n _1 tS 7 j _2 s E_X J _1 t_h a_X m _3,v i _1 v u _1 v i _1 v u t _5b t M _2 tS e n _1 tS 7 j _2 s E_X J _1 t_h a m _3
81,TPA_Nu_6_S0009_168,ts_ u Nm _5a t o j _1 h M7 _5a v ie t _5b t_h M _1 ts_ O _1 t_h 7_X j _2 d e _3 t_h 7_X j _2 x o Nm _1 t_h 7_X j _5a t_h ie w _5a ts_ u Nm _5a t o j _1 tS O_X Nm _1 m 7_X j _5a t_h a N _5a h E _2,ts_ u Nm _5a t o j _1 h M7 _5a v ie t _5b t_h M _1 ts_ O _1 t_h 7_X j _2 d e _3 t_h 7_X j _2 x o Nm _1 t_h 7_X j _5a t_h ie w _5a ts_ u Nm _5a t o j _1 tS O_X Nm _1 m 7_X j _5a t_h a N _5a h E _2
82,NMA_7_NU_S0002_12,ts_ ie w _2 k a w _1 k uo _3 h M7 w _1 k a w _1 k o _3 dZ i _2 t_h wp 7_X n _6a t ie n _6a v a _2 k O _5a dZ i _2 b 7_X t _5b t ie n _6a,ts_ ie w _2 k a w _1 k uo _3 h M7 w _1 k a w _1 k o _3 dZ i _2 t_h wp 7_X n _6a t ie n _6a v a _2 k O _5a dZ i _2 b 7_X t _5b t ie n _6a
83,CNBA_Nu_6_S0003_173,b a _1 k a _5a m 7_X p _6b ts_ a_X N _3 t i m _2 r a _1 k a _5a m a_X N _1,b a _1 k a _5a m 7_X p _6b ts_ a_X N _3 t i m _2 z a _1 k a _5a m a_X N _1
84,NTM_Nam_6_S00010_21,t 7 _5a b ie t _5b k 7_X w _6a k u Nm _4 d O_X kp _6b h a_X j _1 l a_X m _5a J E _5a,t 7 _5a b ie t _5b k 7_X w _6a k u Nm _4 d O_X kp _6b h a_X j _1 l a_X m _5a J E _5a
85,PC_7_NAM_S0004_3,m o t _6b d a n _2 k O _2 b E_X k _6b,m o t _6b d a n _2 k O _2 b E_X k _6b
86,GQM_Nam_6_S0006_60,t 7 _5a ts_ M7 _1 k 7_X w _6a a _6a,t 7 _5a ts_ M7 _1 k 7_X w _6a a _6a
87,PTL_7_NU_S0008_9,G 7_X w _5a t u j _5a k O n _1 tS e n _1 S a_X w _5a t_h a N _5a t uo j _3 f a j _3 t M _6a b a m _5a ts_ a_X k _5b v a w _2 l M N _1 m E _6a x i _1 m E _6a z i _1 ts_ wp ie n _3 t_h wp a_X n _1 t_h wp a_X t _5b tS e n _1 k E_X J _2 k E_X J _2 k 7_X j _1,G 7_X w _5a t u j _5a k O n _1 tS e n _1 s a_X w _5a t_h a N _5a t uo j _3 f a j _3 t M _6a b a m _5a ts_ a_X k _5b v a w _2 l M N _1 m E _6a x i _1 m E _6a z i _1 ts_ wp ie n _3 t_h wp a_X n _1 t_h wp a_X t _5b tS e n _1 k E_X J _2 k E_X J _2 k 7_X j _1
88,PC_7_NAM_S0004_82,v i _2 7 _3 d 7_X j _5a k O _5a r 7_X t _5b J ie w _2 k E_X J _3 d E p _6b,v i _2 7 _3 d 7_X j _5a k O _5a z 7_X t _5b J ie w _2 k E_X J _3 d E p _6b
89,THA_Nu_6_S00042_52,h o _3 l a _1 t_h O _3 f a _5a J a _2 t a _1 a _2,h o _3 l a _1 t_h O _3 f a _5a J a _2 t a _1 a _2
